data,lançamento,valor
2025-10-25,ESTORNO DE ANUIDADE DIF,-36.75
2025-10-25,ENVIO MENS.AUTOMATICA,7.99
2025-10-24,LEAO VALET PARK 2,40
2025-10-24,VIVARA ELD        01/10,840
2025-10-24,DRYWASH SHOPPING ELDORA,97
2025-10-23,UBER* TRIP,26.28
2025-10-23,PASQUIM BAR E PROSA,27.58
2025-10-18,B32 PARK ESTACIONAMEN,45
2025-10-18,UBER* TRIP,53.59
2025-10-17,EZ BARBEARIA LTDA,65
2025-10-17,EBN*SPOTIFY,40.9
2025-10-17,1 cartao 1OVSYY,6.67
2025-10-16,UBER* TRIP,37.87
2025-10-16,UBER* TRIP,27.57
2025-10-13,ESTORNO CUSTO DE IOF,-0.92
2025-10-12,IOF COMPRA INTERNACIONA,37.62
2025-10-12,IOF COMPRA INTERNACIONA,0.92
2025-10-12,L A PARKING,35
2025-10-12,UBER* TRIP,305.23
2025-10-12,IOF COMPRA INTERNACIONA,0.87
2025-10-11,MACYS  ORLANDO MILLENIA,1075.41
2025-10-11,MACYS  ORLANDO MILLENIA,25.56
2025-10-11,IOF COMPRA INTERNACIONA,1.19
2025-10-11,MACYS  ORLANDO MILLENIA,-25.56
2025-10-11,IOF COMPRA INTERNACIONA,7.81
2025-10-11,MACYS  ORLANDO MILLENIA,25.5
2025-10-11,IOF COMPRA INTERNACIONA,5.04
2025-10-10,APPLE.COM/BILL,109.9
2025-10-10,FolhaDeSPaulo,29.9
2025-10-09,UBER* TRIP,28.07
2025-10-09,UBER* TRIP,25.59
2025-10-09,WDW WORLD OF DISNEY,222.95
2025-10-09,APPLE.COM/BILL,29.9
2025-10-09,FIVE GUYS FL 0198 QSR,144.56
2025-10-09,HICV RETAIL POS,33.9
2025-10-07,UBER* TRIP,34.99
2025-10-07,UBER* TRIP,23.17
2025-10-07,IOF COMPRA INTERNACIONA,36.71
2025-10-06,NikePOS_US,1049.09
2025-10-06,UBER* TRIP,34.71
2025-10-06,UBER* TRIP,36.98
2025-10-06,IOF COMPRA INTERNACIONA,3.4
2025-10-05,IOF COMPRA INTERNACIONA,10.13
2025-10-04,FIVE GUYS FL 2013 QSR,96.33
2025-10-04,AMAZON MKTPL*NV51G47T0,289.34
2025-10-03,UBER* TRIP,30.39
2025-10-03,IOF COMPRA INTERNACIONA,2.2
2025-10-03,UBER* TRIP,26.67
2025-10-01,WDW LA BOTTEGA,62.94
2025-10-01,CONTA VIVO,65
2025-10-01,UBER* TRIP,35.73
2025-10-01,CONTA VIVO,128
2025-10-01,UBER* TRIP,26.93
2025-09-30,PAGAMENTO EFETUADO,-12874.7
2025-09-29,IOF COMPRA INTERNACIONA,7.6
2025-09-29,UBER* TRIP,36.34
2025-09-28,UBER* TRIP,32.39
2025-09-28,MLP*Netshoes      01/02,147.45
2025-09-28,IOF COMPRA INTERNACIONA,3.97
2025-09-27,WWW.JETPACGLOBAL.COM,113.34
2025-09-27,UBER * PENDING,81.47
2025-09-27,IOF COMPRA INTERNACIONA,4.08
2025-09-27,IOF COMPRA INTERNACIONA,1.02
2025-09-26,MERPAGO*OPEN25HS,28.52
2025-09-26,IFD*LANCHONETE MELLO  F,124.78
2025-09-26,DUTY FREE SHOP DOLARES,216.88
2025-09-26,MERPAGO*OPEN25HS,116.24
2025-09-25,UBER* TRIP,33.98
2025-09-25,UBER* TRIP,26.34
2025-09-25,ANUIDADE DIFERENCI02/10,73.5
2025-09-24,UBER* TRIP,32.75
2025-09-24,UBER* TRIP,36.67
2025-09-20,Allianz Travel    02/03,139.71
2025-09-18,AIRBNB * HMEC3RJ  02/02,333.69
2025-09-06,VIVARA VIL        02/10,470
2025-08-23,TECIDOS VADINHO   03/03,192
2025-08-23,MP*RINCON         03/06,64.85
2025-08-02,EC *RINCON        03/06,389
2025-07-27,IBERIA LINEA07525203/10,2268.67
2025-07-26,PG *VANS          03/04,307.48
2025-07-22,DELL              04/05,277.63
2025-07-20,UMBRO             04/04,202.5
2025-06-21,IMPALA RELOJOARIA 05/05,211.6
2025-06-20,PRODUTOS GLOBO    04/12,59.9
2025-06-20,MERCADOPAGO*FURIAL05/05,74.51
2025-06-19,Dafiti *DAFITI *  05/05,179.71
2025-05-11,WINE.COM.BR*52723 06/12,73.18
2025-03-14,EBN    *VPD TRAVEL08/10,388.9
2025-03-14,EBN    *VPD TRAVEL08/10,332.19
2025-01-17,EMILIANA JEWELS   10/10,750
2025-01-12,AZULEH87JC        10/12,264.12
